  UID   PID TTY           TIME CMD
  501   706 ??         0:00.12 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  501   707 ??         0:00.01 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  501   709 ??         0:00.11 /usr/libexec/avconferenced
  501   710 ??         0:00.90 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  501   711 ??         0:00.04 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  501   712 ??         0:00.06 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  501   714 ??         0:00.05 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
  501   715 ??         0:00.13 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
  501   716 ??         0:00.04 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  501   717 ??         0:00.21 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
  501   731 ??         0:00.10 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider -AppleLanguages ("en-ES")
  501   732 ??         0:00.83 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  501   733 ??         0:00.40 /usr/libexec/linkd
  501   734 ??         0:00.04 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  501   735 ??         0:01.33 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  501   736 ??         0:00.20 /System/Library/PrivateFrameworks/iCloudDriveService.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
  501   737 ??         0:00.38 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
  501   738 ??         0:06.25 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
  501   739 ??         0:00.03 /System/Library/CoreServices/pbs
  501   740 ??         0:00.42 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  501   741 ??         0:00.42 /System/Library/PrivateFrameworks/MapsSync.framework/mapssyncd
  501   742 ??         0:00.06 /usr/libexec/seserviced
  501   743 ??         0:00.11 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
  501   744 ??         0:20.35 /opt/homebrew/opt/mongodb-community/bin/mongod --config /opt/homebrew/etc/mongod.conf
  501   745 ??         0:00.27 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  501   746 ??         0:00.59 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
  501   750 ??         0:06.65 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
  501   751 ??         0:00.07 /System/Library/Image Capture/Support/icdd
  501   752 ??         0:00.16 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
  501   754 ??         0:00.08 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  501   755 ??         0:00.21 /System/Library/CoreServices/diagnostics_agent
  501   756 ??         0:00.53 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
  501   757 ??         0:00.83 /usr/libexec/remindd
  501   758 ??         0:00.40 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
  501   761 ??         1:38.96 /Applications/Stats.app/Contents/MacOS/Stats
  501   762 ??         0:00.69 /System/Library/CoreServices/TextInputSwitcher.app/Contents/MacOS/TextInputSwitcher
  501   763 ??         0:00.04 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  501   769 ??         0:00.51 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en-ES")
  501   773 ??         0:00.32 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
  501   774 ??         0:01.44 /usr/libexec/triald
  501   776 ??         0:00.10 /usr/libexec/findmylocateagent
  501   778 ??         0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  501   779 ??         0:03.17 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
  501   780 ??         0:00.39 /System/Library/PrivateFrameworks/CoreEmbeddedSpeechRecognition.framework/Versions/A/XPCServices/com.apple.siri.embeddedspeech.xpc/Contents/MacOS/com.apple.siri.embeddedspeech
  501   781 ??         0:00.31 /usr/libexec/WiFiVelocityAgent
  501   783 ??         0:00.10 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
  501   784 ??         0:01.54 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  501   787 ??         0:00.04 /System/Library/PrivateFrameworks/ContinuousDialogManagerService.framework/assistant_cdmd
  501   788 ??         0:01.70 /usr/libexec/siriknowledged
  501   789 ??         0:00.08 /System/Library/PrivateFrameworks/EmailDaemon.framework/Versions/A/maild
  501   791 ??         0:00.33 /System/Library/Frameworks/FinanceKit.framework/financed
  501   792 ??         0:00.40 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
  501   795 ??         0:03.40 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  501   804 ??         0:00.02 /System/Library/PrivateFrameworks/GeoServices.framework/geodMachServiceBridge
  501   805 ??         0:00.05 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
  501   806 ??         0:00.58 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
  501   808 ??         0:01.57 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  501   816 ??         0:00.15 /System/Library/PrivateFrameworks/SiriTTSService.framework/sirittsd
  501   845 ??         0:00.03 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  501   846 ??         0:00.31 /usr/libexec/promotedcontentd
  501   848 ??         0:00.21 /usr/libexec/gamecontrolleragentd
  501   852 ??         0:00.32 /System/Library/Frameworks/ClassKit.framework/Versions/A/progressd
  501   858 ??         0:00.39 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
  501   860 ??         0:00.08 /System/Library/PrivateFrameworks/WeatherDaemon.framework/weatherd
  501   861 ??         0:00.19 /usr/libexec/adprivacyd
  501   862 ??         0:00.05 /System/Library/PrivateFrameworks/LockdownMode.framework/Versions/A/XPCServices/lockdownmoded
  501   863 ??         0:00.08 /usr/libexec/diagnosticextensionsd
  501   864 ??         0:00.18 /usr/libexec/appleaccountd
  501   865 ??         0:00.16 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
  501   868 ??         0:00.02 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  501   869 ??         0:00.03 /System/Applications/Calendar.app/Contents/Extensions/CalendarFocusConfigurationExtension.appex/Contents/MacOS/CalendarFocusConfigurationExtension
  501   870 ??         0:00.05 /System/Applications/Mail.app/Contents/Extensions/MailShortcutsExtension.appex/Contents/MacOS/MailShortcutsExtension
  501   871 ??         0:00.04 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariLinkExtension.appex/Contents/MacOS/SafariLinkExtension
  501   872 ??         0:00.05 /System/Applications/Messages.app/Contents/Extensions/MessagesActionExtension.appex/Contents/MacOS/MessagesActionExtension
  501   874 ??         0:52.74 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
  501   877 ??         0:00.01 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/119.0.6045.123/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/diogosantana/Library/Application Support/Google/Chrome/Crashpad --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=119.0.6045.123 --handshake-fd=6
  501   881 ??         0:00.36 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
